Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s],SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
235, ,0.010353218432956621,1.1357333583431027e-10,None,None,None,None, , , , , 
236, ,0.010353218432956621,1.217382727739662e-10,None,None,None,None, , , , , 
237, ,0.010353218432956621,1.3049019780144016e-10,None,None,None,None, , , , , 
238, ,0.010353218432956621,1.398713102647236e-10,None,None,None,None, , , , , 
239, ,0.010353218432956621,1.4992684327860468e-10,None,None,None,None, , , , , 
240, ,0.010353218432956621,1.6070528182616384e-10,None,None,None,None, , , , , 
241, ,0.010353218432956621,1.722585965398784e-10,None,None,None,None, , , , , 
242, ,0.010353218432956621,1.8464249428955463e-10,None,None,None,None, , , , , 
243, ,0.010353218432956621,1.979166867853557e-10,None,None,None,None, , , , , 
244, ,0.010353218432956621,2.121451784910628e-10,None,None,None,None, , , , , 
245, ,0.010353218432956621,2.273965752357932e-10,None,None,None,None, , , , , 
246, ,0.010353218432956621,2.4374441501222216e-10,None,None,None,None, , , , , 
247, ,0.010353218432956621,2.6126752255633265e-10,None,None,None,None, , , , , 
248, ,0.010353218432956621,2.8005038941836253e-10,None,None,None,None, , , , , 
249, ,0.010353218432956621,3.0018358135755917e-10,None,None,None,None, , , , , 
250, ,0.010353218432956621,3.2176417502507347e-10,None,None,None,None, , , , , 
251, ,0.010353218432956621,3.4489622604057533e-10,None,None,None,None, , , , , 
252, ,0.010353218432956621,3.696912707195032e-10,None,None,None,None, , , , , 
253, ,0.010353218432956621,3.9626886387014783e-10,None,None,None,None, , , , , 
254, ,0.010353218432956621,4.2475715525368935e-10,None,None,None,None, , , , , 
255, ,0.010353218432956621,4.552935074866938e-10,None,None,None,None, , , , , 
256, ,0.010353218432956621,4.880251583654433e-10,None,None,None,None, , , , , 
257, ,0.010353218432956621,5.231099308056258e-10,None,None,None,None, , , , , 
258, ,0.010353218432956621,5.60716993820547e-10,None,None,None,None, , , , , 
259, ,0.010353218432956621,6.010276782070387e-10,None,None,None,None, , , , , 
260, ,0.010353218432956621,6.442363508721371e-10,None,None,None,None, , , , , 
261, ,0.010353218432956621,6.905513520162316e-10,None,None,None,None, , , , , 
262, ,0.010353218432956621,7.401959996915653e-10,None,None,None,None, , , , , 
263, ,0.010353218432956621,7.934096665797492e-10,None,None,None,None, , , , , 
264, ,0.010353218432956621,8.504489341802668e-10,None,None,None,None, , , , , 
265, ,0.010353218432956621,9.115888299750837e-10,None,None,None,None, , , , , 
266, ,0.010353218432956621,9.771241535346502e-10,None,None,None,None, , , , , 
267, ,0.010353218432956621,1.0473708979594486e-09,None,None,None,None, , , , , 
268, ,0.010353218432956621,1.1226677735108114e-09,None,None,None,None, , , , , 
269, ,0.010353218432956621,1.2033778407775904e-09,None,None,None,None, , , , , 
270, ,0.010353218432956621,1.289890261253308e-09,None,None,None,None, , , , , 
271, ,0.010353218432956621,1.3826221737646535e-09,None,None,None,None, , , , , 
272, ,0.010353218432956621,1.4820207057988602e-09,None,None,None,None, , , , , 
273, ,0.010353218432956621,1.5885651294280526e-09,None,None,None,None, , , , , 
